,address,address_point,school_address,school_point,distance,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total
6226,Te Uku,"(-37.8832263408274, 174.938211655105)",Raglan,"(-37.8113871962765, 174.853848298423)",10.895544951229317,0,0,57,0,0,0,57,0,0,0,123
6227,Matarawa,"(-38.2243863145697, 175.853456508825)",Putararu,"(-38.0529379652076, 175.784665143845)",19.963309734128682,0,0,0,0,0,0,12,0,0,0,18
6228,Mangere South East,"(-36.9869592556663, 174.827439385277)",Sutton Park,"(-36.9587264456183, 174.822056072197)",3.169651993628623,0,0,6,0,0,0,0,0,0,0,6
6229,Hillpark South,"(-37.0171708164646, 174.900424650483)",The Gardens (Auckland),"(-37.0015699595273, 174.913038458504)",2.063464658998693,0,0,9,0,0,0,0,0,0,0,9
6230,Murrays Bay East,"(-36.7310302997266, 174.751619535557)",Windsor Park,"(-36.7397522089817, 174.735683514089)",1.7212970191960792,0,0,27,0,0,54,6,0,0,0,93
6231,Ensors,"(-43.5479575795787, 172.668316039499)",Bromley South,"(-43.5366933058765, 172.683672159735)",1.7625371468712752,0,0,0,0,0,0,0,0,0,0,9
6232,Fairfield (Dunedin City),"(-45.9016140601653, 170.400797407614)",Campus South,"(-45.8679379203742, 170.51211678589)",9.416914407418103,0,33,0,0,0,0,0,0,0,0,42
6233,Churton Park South,"(-41.210866312129, 174.806953098211)",Paparangi,"(-41.216743695113, 174.819837153726)",1.2623470767138656,0,0,33,0,0,0,45,9,0,0,90
6234,Shirley East,"(-43.498425608445, 172.667253050565)",Travis Wetlands,"(-43.4856038782224, 172.688700139515)",2.2447254901081233,0,0,21,0,0,0,0,0,0,0,24
6235,Kew (Invercargill City),"(-46.4334261366803, 168.353792974087)",Windsor ,"(-46.3971660611829, 168.375686133063)",4.367978994989867,0,0,9,0,0,0,0,0,0,0,9
6236,Akina Park,"(-39.6501158506909, 176.840524297479)",Parkvale,"(-39.6494593428803, 176.860975542175)",1.756812464034995,0,0,18,0,0,0,0,0,0,0,21
6237,Patumahoe,"(-37.1769175521053, 174.83514067352)",Hingaia,"(-37.0736995971307, 174.914194448576)",13.437729370528913,0,0,15,0,0,0,9,0,0,0,27
6238,Browns Bay South East,"(-36.7247575486164, 174.737705448396)",Long Bay,"(-36.6894634819421, 174.73306961576)",3.938501653065692,0,0,0,0,0,0,0,0,0,0,12
6239,Northcote Tuff Crater,"(-36.8075236023227, 174.750901178925)",Northcote Central (Auckland),"(-36.7988894686888, 174.744444172473)",1.1180856315487404,0,0,6,0,0,9,0,0,0,0,21
6240,Hurdon,"(-39.0953471857242, 174.050595538332)",Moturoa,"(-39.0627046790316, 174.048336426714)",3.6291413576496794,0,0,33,0,0,0,0,0,0,0,39
6241,Hutt Central South,"(-41.2134915863228, 174.90936128669)",Wellington University,"(-41.2890840052212, 174.767625296495)",14.546603752277353,0,0,0,0,0,0,0,0,0,0,42
6242,Massey Central,"(-36.8390983456824, 174.606020483628)",Akoranga,"(-36.7965749882019, 174.754512443534)",14.064294885537722,0,6,0,0,0,0,0,0,0,0,9
6243,Palm Beach North,"(-37.692843739102, 176.262784144168)",Doncaster,"(-37.7105948760626, 176.296818316858)",3.5902614526519803,0,0,30,0,0,0,0,0,0,0,39
6244,Rangiora North East,"(-43.2974245182273, 172.600899537778)",Southbrook,"(-43.3271807304585, 172.597658009151)",3.3163231739829877,0,0,27,0,0,0,0,0,0,0,30
6245,Ashgrove,"(-43.3016449172649, 172.581413404483)",Christchurch Central-South,"(-43.5381586119483, 172.642402889103)",26.737051495465835,0,9,0,0,0,0,0,0,0,0,12
6246,Pegasus,"(-43.3113629594723, 172.696513896767)",Christchurch Central-South,"(-43.5381586119483, 172.642402889103)",25.57537695616576,0,15,0,0,0,0,0,0,0,0,21
6247,Monika Reserve,"(-38.0954400444454, 176.675003082875)",Matata-Otakiri,"(-37.9384640605704, 176.800438027211)",20.61343735130081,0,0,0,0,0,0,0,0,0,0,6
6248,Taita North,"(-41.171263161292, 174.964627451353)",Belmont Park,"(-41.1693145033218, 174.915542990768)",4.124764138294123,0,0,0,0,0,0,0,0,0,0,6
6249,Hillsborough South (Auckland),"(-36.9261194057534, 174.755586587815)",Mangere Bridge,"(-36.9435697643235, 174.788540047435)",3.516948243453582,0,0,9,0,0,0,0,0,0,0,9
6250,Malvern,"(-43.5022148973783, 172.630507306996)",Strowan,"(-43.5076195439645, 172.608746537018)",1.8594209416961718,0,0,33,0,15,9,0,0,0,18,81
6251,Glen Innes West,"(-36.8731609965731, 174.856919947346)",Kohimarama,"(-36.8577300337831, 174.84092129403)",2.228812150299871,0,6,39,0,0,27,0,12,0,0,93
6252,Rolleston South East,"(-43.610581759933, 172.4018365265)",Rolleston South West,"(-43.6149096976328, 172.374585226645)",2.251828866517371,0,0,78,0,15,6,0,0,0,0,102
6253,Whenuapai,"(-36.7916275829943, 174.621430680602)",Takapuna West,"(-36.7891091781411, 174.761170075111)",12.475630130042902,0,0,0,0,0,0,12,0,0,0,18
6254,Maraetai,"(-36.8877486688498, 175.037971114498)",Botany South,"(-36.9385812005159, 174.91414623875)",12.392762103019686,0,0,0,0,0,0,0,0,0,0,6
6255,Ngongotaha East,"(-38.0628355062064, 176.213883963753)",Tui Ridge,"(-38.0169750687515, 176.129318976935)",9.001149101450606,0,0,0,0,0,0,6,0,0,0,12
6256,Fairfield (Dunedin City),"(-45.9016140601653, 170.400797407614)",Roslyn (Dunedin City),"(-45.8671190737253, 170.491757203105)",8.034538664085794,0,0,9,0,0,0,0,0,0,0,15
6257,Woodend,"(-43.3217601666613, 172.665875972283)",Rangiora North East,"(-43.2974245182273, 172.600899537778)",5.924453944513183,0,0,0,0,0,0,15,0,0,0,24
6258,Gonville North,"(-39.9384855062687, 175.029008744987)",Brunswick-Papaiti,"(-39.8767540798245, 175.029188017946)",6.854233838222067,0,0,6,0,0,0,0,0,0,0,9
6259,Waterloo East,"(-41.2179400927474, 174.929168851179)",Alicetown-Melling,"(-41.2140278603645, 174.893651845807)",3.009977486550005,0,0,0,0,0,0,0,0,0,0,6
6260,Onerahi Park,"(-35.752464246045, 174.372598288183)",Kiripaka,"(-35.6467495808253, 174.402874232051)",12.045212240711438,0,0,0,0,0,0,0,0,0,0,6
6261,Southbrook,"(-43.3271807304585, 172.597658009151)",Christchurch Central-South,"(-43.5381586119483, 172.642402889103)",23.7182063374824,0,0,0,0,0,0,0,0,0,0,6
