WKT,code,name,easting,northing,latitude,longitude
POINT (174.79413674474 -36.6094965791112),115700,Gulf Harbour North,1760455.50915,5946947.55265,-36.60949658,174.79413674
POINT (174.761287990824 -36.6333898601176),115800,Manly East,1757468.8425,5944351.17875,-36.63338986,174.76128799
POINT (174.583711792513 -36.7581033140079),115900,Riverhead,1741362.72535,5930792.12665,-36.75810331,174.58371179
POINT (174.823257327077 -36.6050980286808),116000,Army Bay,1763069.3753,5947386.4881,-36.60509803,174.82325733
POINT (174.574568858238 -36.7765808490391),116100,Kumeu Rural East,1740512.83595,5928755.67755,-36.77658085,174.57456886
POINT (174.795980058105 -36.6231957444048),116200,Gulf Harbour South,1760591.95415,5945424.6593,-36.62319574,174.79598006
POINT (174.615843224262 -36.755072258248),116300,Paremoremo West,1744236.6815,5931080.45675,-36.75507226,174.61584322
POINT (174.554249600799 -36.8216468242331),116400,Taupaki,1738618.17835,5923785.65835,-36.82164682,174.5542496
POINT (174.73306961576 -36.6894634819421),116500,Long Bay,1754833.35195,5938176.2042,-36.68946348,174.73306962
POINT (174.660205256847 -36.7498203116837),116600,Paremoremo East,1748207.03365,5931595.3496,-36.74982031,174.66020526
POINT (174.694013929477 -36.7179647239345),116700,Albany Heights,1751287.90785,5935076.60115,-36.71796472,174.69401393
POINT (174.727329266293 -36.6999001232852),116800,Awaruku,1754299.59625,5937027.59805,-36.69990012,174.72732927
POINT (174.71678985075 -36.7100732235264),116900,Fairview Heights,1753337.8267,5935915.8904,-36.71007322,174.71678985
POINT (174.621430680602 -36.7916275829943),117000,Whenuapai,1744666.75385,5927016.51215,-36.79162758,174.62143068
POINT (174.500010003921 -36.8987688808934),117100,Waitakere Ranges North,1733646.01615,5915306.9275,-36.89876888,174.50001
POINT (174.750929157584 -36.6951241414364),117200,Torbay,1756417.60455,5937519.20065,-36.69512414,174.75092916
POINT (174.704835178594 -36.7282018578392),117300,Albany Central,1752234.19395,5933923.72665,-36.72820186,174.70483518
POINT (174.68787988426 -36.7414673963809),117400,Albany West,1750694.09635,5932478.8368,-36.7414674,174.68787988
POINT (174.740550600039 -36.701303295374),117500,Glamorgan,1755477.9144,5936850.5582,-36.70130329,174.7405506
POINT (174.722072616294 -36.7165789774543),117600,Oteha East,1753796.7338,5935185.65945,-36.71657898,174.72207262
POINT (174.730768304957 -36.7116574276641),117700,Northcross,1754583.26885,5935717.6728,-36.71165743,174.7307683
POINT (174.716867447455 -36.7220673254101),117800,Oteha West,1753320.9127,5934585.1133,-36.72206732,174.71686745
POINT (174.744396696183 -36.7066502641459),117900,Waiake,1755810.70695,5936251.1051,-36.70665026,174.7443967
POINT (174.540729187805 -36.856979816572),118000,Waitakere,1737349.0404,5919885.2841,-36.85697982,174.54072919
